day,person_direction,top_outer_category,top_outer_neck_style,top_outer_fit,top_outer_formality,top_outer_design,top_outer_length,top_outer_sleeve_length,top_outer_reflection,top_outer_color,presence_of_top_inner,top_inner_category,top_inner_neck_style,top_inner_fit,top_inner_formality,top_inner_design,top_inner_length,top_inner_sleeve_length,top_inner_reflection,top_inner_color,bottom_category,bottom_design,bottom_fit,bottom_formality,bottom_color,person_id
24,back,t-shirt,round-neck,medium,informal,solid,short,medium,no,"red",no,?,?,?,?,?,?,?,?,"?",shorts,solid,medium,informal,"brown",person7
25,front,t-shirt,collar,medium,informal,solid,short,short,no,"dark_blue",no,?,?,?,?,?,?,?,?,"?",shorts,solid,medium,informal,"brown",person7
25,back,t-shirt,collar,medium,informal,solid,short,short,no,"dark_blue",no,?,?,?,?,?,?,?,?,"?",shorts,solid,medium,informal,"brown",person7
26,front,t-shirt,round-neck,medium,informal,solid,short,medium,no,"grey",no,?,?,?,?,?,?,?,?,"?",shorts,solid,medium,informal,"brown",person7
26,back,t-shirt,round-neck,medium,informal,solid,short,medium,no,"grey",no,?,?,?,?,?,?,?,?,"?",shorts,solid,medium,informal,"brown",person7
27,front,shirt,collar,medium,semi-formal,ver_stripes,short,short,no,"light_yellow,blue",no,?,?,?,?,?,?,?,?,"?",jeans,N-tone,medium,informal,"blue,light_blue",person7
27,back,shirt,collar,medium,semi-formal,ver_stripes,short,short,no,"light_yellow,blue",no,?,?,?,?,?,?,?,?,"?",jeans,N-tone,medium,informal,"blue,light_blue",person7
28,front,shirt,collar,medium,semi-formal,solid,short,short,no,"grey",no,?,?,?,?,?,?,?,?,"?",jeans,N-tone,medium,informal,"blue,light_blue",person7
28,back,shirt,collar,medium,semi-formal,solid,short,short,no,"grey",no,?,?,?,?,?,?,?,?,"?",jeans,N-tone,medium,informal,"blue,light_blue",person7
29,front,t-shirt,round-neck,medium,informal,solid,short,medium,no,"red",no,?,?,?,?,?,?,?,?,"?",jeans,N-tone,medium,informal,"blue,light_blue",person7
29,back,t-shirt,round-neck,medium,informal,solid,short,medium,no,"red",no,?,?,?,?,?,?,?,?,"?",jeans,N-tone,medium,informal,"blue,light_blue",person7
30,front,t-shirt,round-neck,medium,informal,solid,short,short,no,"dark_blue",no,?,?,?,?,?,?,?,?,"?",jeans,N-tone,medium,informal,"blue,light_blue",person7
30,back,t-shirt,round-neck,medium,informal,graphics,short,short,no,"dark_blue,yellow",no,?,?,?,?,?,?,?,?,"?",jeans,N-tone,medium,informal,"blue,light_blue",person7
1,front,shirt,collar,medium,formal,checked_pattern,short,long,no,"blue,white,red",no,?,?,?,?,?,?,?,?,"?",jeans,N-tone,medium,informal,"light_blue",person8
1,back,shirt,collar,medium,formal,checked_pattern,short,long,no,"blue,white,red",no,?,?,?,?,?,?,?,?,"?",jeans,N-tone,medium,informal,"light_blue",person8
2,front,sweater,v-neck,medium,formal,solid,short,long,no,"grey",yes,shirt,collar,medium,formal,solid,short,?,no,"light_blue",jeans,solid,medium,informal,"dark_blue",person8
2,back,sweater,v-neck,medium,formal,solid,short,long,no,"grey",yes,shirt,collar,medium,formal,solid,short,?,no,"light_blue",jeans,solid,medium,informal,"dark_blue",person8
3,front,jacket,collar,medium,informal,solid,short,long,no,"light_grey",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,informal,"dark_blue",person8
3,back,jacket,collar,medium,informal,solid,short,long,no,"light_grey",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,informal,"dark_blue",person8
4,front,sweater,v-neck,medium,formal,solid,short,long,no,"grey",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,informal,"dark_blue",person8
4,back,sweater,v-neck,medium,formal,solid,short,long,no,"grey",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,informal,"dark_blue",person8
5,front,t-shirt,round-neck,medium,informal,graphics,short,short,no,"red,yellow",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,informal,"dark_blue",person8
5,back,t-shirt,round-neck,medium,informal,graphics,short,short,no,"red,yellow",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,informal,"dark_blue",person8
6,front,shirt,collar,medium,formal,checked_pattern,short,medium,no,"red,yellow,blue,white",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,informal,"dark_blue",person8
6,back,shirt,collar,medium,formal,checked_pattern,short,medium,no,"red,yellow,blue,white",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,informal,"dark_blue",person8
7,front,shirt,collar,medium,formal,checked_pattern,short,long,no,"blue,white,red",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,informal,"dark_blue",person8
7,back,shirt,collar,medium,formal,checked_pattern,short,long,no,"blue,white,red",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,informal,"dark_blue",person8
8,front,sweater,v-neck,medium,formal,solid,short,long,no,"grey",yes,shirt,collar,medium,formal,solid,short,?,no,"light_green",jeans,solid,medium,informal,"dark_blue",person8
8,back,sweater,v-neck,medium,formal,solid,short,long,no,"grey",yes,shirt,collar,medium,formal,solid,short,?,no,"light_green",jeans,solid,medium,informal,"dark_blue",person8
9,front,shirt,collar,medium,formal,solid,short,medium,no,"light_green",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,informal,"dark_blue",person8
9,back,shirt,collar,medium,formal,solid,short,medium,no,"light_green",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,informal,"dark_blue",person8
10,front,jacket,collar,medium,informal,solid,short,long,no,"light_grey",yes,shirt,collar,medium,formal,checked_pattern,short,?,no,"?",jeans,solid,medium,informal,"dark_blue",person8
10,back,jacket,collar,medium,informal,solid,short,long,no,"light_grey",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,informal,"dark_blue",person8
11,front,shirt,collar,medium,formal,solid,short,medium,no,"light_green",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,informal,"dark_blue",person8
11,back,shirt,collar,medium,formal,solid,short,medium,no,"light_green",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,informal,"dark_blue",person8
12,front,jacket,collar,medium,informal,solid,short,long,no,"light_grey",yes,t-shirt,round-neck,medium,informal,graphics,short,?,no,"red,yellow",jeans,solid,medium,informal,"dark_blue",person8
12,back,jacket,collar,medium,informal,solid,short,long,no,"light_grey",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,informal,"dark_blue",person8
13,front,shirt,collar,medium,formal,checked_pattern,short,medium,no,"blue,white,red",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,informal,"dark_blue",person8
13,back,shirt,collar,medium,formal,checked_pattern,short,medium,no,"blue,white,red",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,informal,"dark_blue",person8
14,front,shirt,collar,medium,formal,checked_pattern,short,medium,no,"red,yellow,blue,white",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,informal,"dark_blue",person8
14,back,shirt,collar,medium,formal,checked_pattern,short,medium,no,"red,yellow,blue,white",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,informal,"dark_blue",person8
15,front,t-shirt,collar,medium,semi-formal,solid,short,short,no,"red",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,informal,"dark_blue",person8
15,back,t-shirt,collar,medium,semi-formal,solid,short,short,no,"red",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,informal,"dark_blue",person8
16,front,jacket,collar,medium,informal,solid,short,long,no,"light_grey",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,informal,"dark_blue",person8
16,back,jacket,collar,medium,informal,solid,short,long,no,"light_grey",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,informal,"dark_blue",person8
17,front,shirt,collar,medium,formal,solid,short,medium,no,"light_blue",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,informal,"dark_blue",person8
17,back,shirt,collar,medium,formal,solid,short,medium,no,"light_blue",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,informal,"dark_blue",person8
18,front,shirt,collar,medium,formal,solid,short,medium,no,"light_brown",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,informal,"dark_blue",person8
18,back,shirt,collar,medium,formal,solid,short,medium,no,"light_brown",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,informal,"dark_blue",person8
19,front,shirt,collar,medium,formal,solid,short,medium,no,"dark_blue",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,informal,"dark_blue",person8
19,back,shirt,collar,medium,formal,solid,short,medium,no,"dark_blue",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,informal,"dark_blue",person8
20,front,jacket,collar,medium,informal,solid,short,long,no,"light_grey",yes,t-shirt,collar,medium,semi-formal,solid,short,?,no,"?",jeans,solid,medium,informal,"dark_blue",person8
20,back,jacket,collar,medium,informal,solid,short,long,no,"light_grey",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,informal,"dark_blue",person8
21,front,sweater,collar,medium,semi-formal,solid,short,long,no,"dark_grey",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,informal,"dark_blue",person8
21,back,sweater,collar,medium,semi-formal,solid,short,long,no,"dark_grey",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,informal,"dark_blue",person8
22,front,sweater,collar,medium,semi-formal,solid,short,long,no,"dark_grey",yes,shirt,collar,medium,formal,checked_pattern,short,?,no,"?",jeans,solid,medium,informal,"dark_blue",person8
22,back,sweater,collar,medium,semi-formal,solid,short,long,no,"dark_grey",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,informal,"dark_blue",person8
23,front,shirt,collar,medium,formal,solid,short,medium,no,"dark_blue",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,informal,"dark_blue",person8
23,back,shirt,collar,medium,formal,solid,short,medium,no,"dark_blue",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,informal,"dark_blue",person8
24,front,shirt,collar,medium,formal,checked_pattern,short,medium,no,"blue,white,red",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,informal,"dark_blue",person8
24,back,shirt,collar,medium,formal,checked_pattern,short,medium,no,"blue,white,red",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,informal,"dark_blue",person8
25,front,shirt,collar,medium,formal,solid,short,medium,no,"light_blue",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,informal,"dark_blue",person8
25,back,shirt,collar,medium,formal,solid,short,medium,no,"light_blue",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,informal,"dark_blue",person8
26,front,shirt,collar,medium,formal,checked_pattern,short,medium,no,"red,yellow,blue,white",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,informal,"dark_blue",person8
26,back,shirt,collar,medium,formal,checked_pattern,short,medium,no,"red,yellow,blue,white",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,informal,"dark_blue",person8
27,front,shirt,collar,medium,formal,checked_pattern,short,medium,no,"blue,grey",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,informal,"dark_blue",person8
27,back,shirt,collar,medium,formal,checked_pattern,short,medium,no,"blue,grey",no,?,?,?,?,?,?,?,?,"?",jeans,solid,medium,informal,"dark_blue",person8
28,front,shirt,collar,medium,formal,checked_pattern,short,medium,no,"blue,grey",no,?,?,?,?,?,?,?,?,"?",jeans,N-tone,medium,informal,"light_blue",person8
28,back,shirt,collar,medium,formal,checked_pattern,short,medium,no,"blue,grey",no,?,?,?,?,?,?,?,?,"?",jeans,N-tone,medium,informal,"light_blue",person8
29,front,shirt,collar,medium,formal,checked_pattern,short,medium,no,"blue,grey",no,?,?,?,?,?,?,?,?,"?",jeans,N-tone,medium,informal,"light_blue",person8
29,back,shirt,collar,medium,formal,checked_pattern,short,medium,no,"blue,grey",no,?,?,?,?,?,?,?,?,"?",jeans,N-tone,medium,informal,"light_blue",person8
30,front,jacket,collar,medium,informal,solid,short,long,no,"light_grey",no,?,?,?,?,?,?,?,?,"?",jeans,N-tone,medium,informal,"light_blue",person8
30,back,jacket,collar,medium,informal,solid,short,long,no,"light_grey",no,?,?,?,?,?,?,?,?,"?",jeans,N-tone,medium,informal,"light_blue",person8
1,front,sweater,collar,medium,informal,solid,short,long,no,"dark_blue",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_blue",person9
1,back,sweater,collar,medium,informal,solid,short,long,no,"dark_blue",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_blue",person9
2,front,t-shirt,round-neck,medium,informal,solid,short,short,no,"light_yellow",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_blue",person9
2,back,t-shirt,round-neck,medium,informal,solid,short,short,no,"light_yellow",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_blue",person9
3,front,jacket,hood,medium,informal,solid,short,long,no,"black",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_blue",person9
3,back,jacket,hood,medium,informal,solid,short,long,no,"black",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_blue",person9
4,front,shirt,collar,medium,semi-formal,solid,short,medium,no,"blue",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_grey",person9
4,back,shirt,collar,medium,semi-formal,solid,short,medium,no,"blue",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_grey",person9
5,front,shirt,collar,medium,semi-formal,checked_pattern,short,long,no,"red,white",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_blue",person9
5,back,shirt,collar,medium,semi-formal,checked_pattern,short,long,no,"red,white",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_blue",person9
6,front,t-shirt,round-neck,medium,informal,solid,short,short,no,"dark_purple",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_blue",person9
6,back,t-shirt,round-neck,medium,informal,solid,short,short,no,"dark_purple",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_blue",person9
7,front,t-shirt,round-neck,medium,semi-formal,solid,short,long,no,"light_grey",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_blue",person9
7,back,t-shirt,round-neck,medium,semi-formal,solid,short,long,no,"light_grey",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_blue",person9
8,front,hoodie,hood,medium,informal,N-tone,short,long,no,"black,grey",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_blue",person9
8,back,hoodie,hood,medium,informal,N-tone,short,long,no,"black,grey",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_blue",person9
9,front,t-shirt,round-neck,medium,informal,solid,short,short,no,"dark_blue",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_blue",person9
9,back,t-shirt,round-neck,medium,informal,solid,short,short,no,"dark_blue",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_blue",person9
10,front,t-shirt,collar,medium,semi-formal,hor_stripes,short,short,no,"blue,white,dark_blue",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_blue",person9
10,back,t-shirt,collar,medium,semi-formal,hor_stripes,short,short,no,"dark_blue,white",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_blue",person9
11,front,t-shirt,collar,medium,informal,solid,short,short,no,"light_grey",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_blue",person9
11,back,t-shirt,collar,medium,informal,solid,short,short,no,"light_grey",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_blue",person9
12,front,shirt,collar,medium,semi-formal,hor_stripes,short,medium,no,"dark_grey,black",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_blue",person9
12,back,shirt,collar,medium,semi-formal,hor_stripes,short,medium,no,"dark_grey,black",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_blue",person9
13,front,shirt,collar,medium,semi-formal,solid,short,short,no,"white",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_blue",person9
13,back,shirt,collar,medium,semi-formal,solid,short,short,no,"white",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_blue",person9
14,front,shirt,collar,medium,informal,checked_pattern,short,long,no,"dark_blue,red,orange,white",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_blue",person9
14,back,shirt,collar,medium,informal,checked_pattern,short,long,no,"dark_blue,red,orange,white",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_blue",person9
15,front,shirt,collar,medium,informal,checked_pattern,short,long,no,"dark_blue,red,white",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_blue",person9
15,back,shirt,collar,medium,informal,checked_pattern,short,long,no,"dark_blue,red,white",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_blue",person9
16,front,t-shirt,round-neck,medium,informal,solid,short,short,no,"dark_purple",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_blue",person9
16,back,t-shirt,round-neck,medium,informal,solid,short,short,no,"dark_purple",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_blue",person9
17,front,t-shirt,collar,medium,semi-formal,hor_stripes,short,short,no,"blue,white,dark_blue",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_blue",person9
17,back,t-shirt,collar,medium,semi-formal,hor_stripes,short,short,no,"dark_blue,white",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_blue",person9
18,front,shirt,collar,medium,semi-formal,solid,short,long,no,"blue",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_blue",person9
18,back,shirt,collar,medium,semi-formal,solid,short,long,no,"blue",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_blue",person9
19,front,shirt,collar,medium,semi-formal,solid,short,long,no,"blue",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"light_brown",person9
19,back,shirt,collar,medium,semi-formal,solid,short,long,no,"blue",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"light_brown",person9
20,front,sweater,collar,medium,informal,solid,short,short,no,"light_grey",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_blue",person9
20,back,sweater,collar,medium,informal,solid,short,short,no,"light_grey",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_blue",person9
21,front,t-shirt,collar,medium,semi-formal,hor_stripes,short,short,no,"blue,white,dark_blue",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_blue",person9
21,back,t-shirt,collar,medium,semi-formal,hor_stripes,short,short,no,"dark_blue,white",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_blue",person9
22,front,shirt,collar,medium,informal,checked_pattern,short,long,no,"dark_blue,red,orange,white",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_blue",person9
22,back,shirt,collar,medium,informal,checked_pattern,short,long,no,"dark_blue,red,orange,white",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_blue",person9
23,front,t-shirt,round-neck,medium,informal,solid,short,short,no,"dark_purple",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"light_brown",person9
23,back,t-shirt,round-neck,medium,informal,solid,short,short,no,"dark_purple",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"light_brown",person9
24,front,shirt,collar,medium,semi-formal,solid,short,long,no,"blue",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_blue",person9
24,back,shirt,collar,medium,semi-formal,solid,short,long,no,"blue",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_blue",person9
25,front,t-shirt,collar,medium,informal,solid,short,short,no,"light_grey",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_blue",person9
25,back,t-shirt,collar,medium,informal,solid,short,short,no,"light_grey",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_blue",person9
26,front,shirt,collar,medium,semi-formal,solid,short,short,no,"white",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_blue",person9
26,back,shirt,collar,medium,semi-formal,solid,short,short,no,"white",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_blue",person9
27,front,shirt,collar,medium,semi-formal,hor_stripes,short,long,no,"dark_grey,black",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_blue",person9
27,back,shirt,collar,medium,semi-formal,hor_stripes,short,long,no,"dark_grey,black",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_blue",person9
28,front,shirt,collar,medium,informal,checked_pattern,short,long,no,"dark_blue,red,orange,white",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_blue",person9
28,back,shirt,collar,medium,informal,checked_pattern,short,long,no,"dark_blue,red,orange,white",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_blue",person9
29,front,shirt,collar,medium,informal,checked_pattern,short,long,no,"dark_blue,red,white",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_blue",person9
29,back,shirt,collar,medium,informal,checked_pattern,short,long,no,"dark_blue,red,white",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_blue",person9
30,front,shirt,collar,medium,semi-formal,solid,short,long,no,"blue",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_blue",person9
30,back,shirt,collar,medium,semi-formal,solid,short,long,no,"blue",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"dark_blue",person9
1,front,hoodie,hood,loose,informal,solid,short,long,no,"beige",yes,t-shirt,round-neck,medium,informal,solid,short,short,no,"white",shorts,solid,medium,informal,"black",person10
1,back,hoodie,hood,loose,informal,solid,short,long,no,"beige",yes,t-shirt,round-neck,medium,informal,solid,short,short,no,"white",shorts,solid,medium,informal,"black",person10
2,front,t-shirt,round-neck,medium,informal,text,short,long,no,"dark_blue",yes,t-shirt,round-neck,medium,informal,solid,short,short,no,"white",sweat_pants,ver_stripes,medium,informal,"black",person10
2,back,t-shirt,round-neck,medium,informal,solid,short,long,no,"dark_blue",yes,t-shirt,round-neck,medium,informal,solid,short,short,no,"white",sweat_pants,ver_stripes,medium,informal,"black",person10
3,front,sweater,turtle-neck,loose,informal,solid,short,long,no,"black",no,?,?,?,?,?,?,?,?,"?",sweat_pants,ver_stripes,medium,informal,"black",person10
3,back,sweater,turtle-neck,loose,informal,solid,short,long,no,"black",no,?,?,?,?,?,?,?,?,"?",sweat_pants,ver_stripes,medium,informal,"black",person10
4,front,jacket,hood,loose,informal,solid,long,long,no,"black",no,?,?,?,?,?,?,?,?,"?",sweat_pants,ver_stripes,medium,informal,"black",person10
4,back,jacket,hood,loose,informal,solid,long,long,no,"black",no,?,?,?,?,?,?,?,?,"?",sweat_pants,ver_stripes,medium,informal,"black",person10
5,front,shirt,collar,medium,formal,solid,short,long,no,"white",no,?,?,?,?,?,?,?,?,"?",sweat_pants,ver_stripes,medium,informal,"black",person10
5,back,shirt,collar,medium,formal,solid,short,long,no,"white",no,?,?,?,?,?,?,?,?,"?",sweat_pants,ver_stripes,medium,informal,"black",person10
6,front,hoodie,hood,loose,informal,text,short,long,no,"black",yes,t-shirt,round-neck,medium,informal,solid,short,short,no,"white",sweat_pants,ver_stripes,medium,informal,"black",person10
6,back,hoodie,hood,loose,informal,text,short,long,no,"black",yes,t-shirt,round-neck,medium,informal,solid,short,short,no,"white",sweat_pants,ver_stripes,medium,informal,"black",person10
7,front,hoodie,hood,loose,informal,solid,short,long,no,"beige",yes,t-shirt,round-neck,medium,informal,solid,short,short,no,"white",sweat_pants,ver_stripes,medium,informal,"black",person10
7,back,hoodie,hood,loose,informal,solid,short,long,no,"beige",yes,t-shirt,round-neck,medium,informal,solid,short,short,no,"white",sweat_pants,ver_stripes,medium,informal,"black",person10
8,front,shirt,collar,medium,formal,solid,short,long,no,"blue",no,?,?,?,?,?,?,?,?,"?",sweat_pants,ver_stripes,medium,informal,"black",person10
8,back,shirt,collar,medium,formal,solid,short,long,no,"blue",no,?,?,?,?,?,?,?,?,"?",sweat_pants,ver_stripes,medium,informal,"black",person10
9,front,t-shirt,round-neck,medium,informal,text,short,long,no,"dark_blue",yes,t-shirt,round-neck,medium,informal,solid,short,short,no,"white",sweat_pants,ver_stripes,medium,informal,"black",person10
9,back,t-shirt,round-neck,medium,informal,solid,short,long,no,"dark_blue",yes,t-shirt,round-neck,medium,informal,solid,short,short,no,"white",sweat_pants,ver_stripes,medium,informal,"black",person10
10,front,t-shirt,round-neck,medium,informal,hor_stripes,short,long,no,"white,black",no,?,?,?,?,?,?,?,?,"?",sweat_pants,ver_stripes,medium,informal,"black",person10
10,back,t-shirt,round-neck,medium,informal,hor_stripes,short,long,no,"white,black",no,?,?,?,?,?,?,?,?,"?",sweat_pants,ver_stripes,medium,informal,"black",person10
11,front,t-shirt,round-neck,medium,informal,text,short,long,no,"dark_blue",yes,t-shirt,round-neck,medium,informal,solid,short,short,no,"white",shorts,solid,medium,informal,"black",person10
11,back,t-shirt,round-neck,medium,informal,solid,short,long,no,"dark_blue",yes,t-shirt,round-neck,medium,informal,solid,short,short,no,"white",shorts,solid,medium,informal,"black",person10
12,front,jacket,collar,medium,informal,solid,short,long,no,"blue",no,?,?,?,?,?,?,?,?,"?",sweat_pants,ver_stripes,medium,informal,"black",person10
12,back,jacket,collar,medium,informal,solid,short,long,no,"blue",no,?,?,?,?,?,?,?,?,"?",sweat_pants,ver_stripes,medium,informal,"black",person10
13,front,shirt,collar,medium,formal,solid,short,long,no,"blue",yes,t-shirt,round-neck,medium,informal,solid,short,short,no,"white",shorts,solid,medium,informal,"black",person10
13,back,shirt,collar,medium,formal,solid,short,long,no,"blue",yes,t-shirt,round-neck,medium,informal,solid,short,short,no,"white",shorts,solid,medium,informal,"black",person10
14,front,hoodie,hood,loose,informal,solid,short,long,no,"beige",yes,t-shirt,round-neck,medium,informal,solid,short,short,no,"white",shorts,solid,medium,informal,"black",person10
14,back,hoodie,hood,loose,informal,solid,short,long,no,"beige",yes,t-shirt,round-neck,medium,informal,solid,short,short,no,"white",shorts,solid,medium,informal,"black",person10
15,front,shirt,collar,medium,formal,solid,short,long,no,"white",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,informal,"light_blue",person10
15,back,shirt,collar,medium,formal,solid,short,long,no,"white",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,informal,"light_blue",person10
16,front,jacket,hood,loose,informal,solid,long,long,no,"black",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,informal,"light_blue",person10
16,back,jacket,hood,loose,informal,solid,long,long,no,"black",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,informal,"light_blue",person10
17,front,t-shirt,round-neck,medium,informal,text,short,long,no,"dark_blue",yes,t-shirt,round-neck,medium,informal,solid,short,short,no,"white",sweat_pants,ver_stripes,medium,informal,"black",person10
